id_fact_venta;fecha_key;cliente_key;producto_key;canal_key;tienda_key;cantidad;precio_unitario;total_venta;tipo_venta
58;20260410;104;2004;2;;1;15000.0;15000.0;Online
59;20260407;103;2011;3;5.0;3;60000.0;180000.0;Presencial
60;20260406;107;2004;2;;3;15000.0;45000.0;Online
61;20260405;105;2008;2;;3;80000.0;240000.0;Online
62;20260408;101;2010;1;;1;25000.0;25000.0;Online
63;20260404;118;2009;1;;3;120000.0;360000.0;Online
64;20260402;112;2015;1;;2;45000.0;90000.0;Online
65;20260403;110;2008;2;;3;80000.0;240000.0;Online
66;20260401;117;2011;3;7.0;3;60000.0;180000.0;Presencial
67;20260403;104;2005;3;1.0;1;70000.0;70000.0;Presencial
68;20260403;118;2005;3;3.0;2;70000.0;140000.0;Presencial
69;20260404;111;2011;3;6.0;3;60000.0;180000.0;Presencial
70;20260405;116;2015;3;7.0;1;45000.0;45000.0;Presencial
71;20260405;114;2001;1;;1;140000.0;140000.0;Online
72;20260405;105;2003;2;;4;30000.0;120000.0;Online
73;20260409;114;2001;3;1.0;1;140000.0;140000.0;Presencial
74;20260409;105;2001;3;7.0;3;140000.0;420000.0;Presencial
75;20260403;118;2007;3;2.0;1;50000.0;50000.0;Presencial
76;20260401;112;2015;2;;3;45000.0;135000.0;Online
77;20260402;108;2006;1;;4;100000.0;400000.0;Online
78;20260404;105;2014;3;2.0;2;20000.0;40000.0;Presencial
79;20260403;101;2012;2;;3;35000.0;105000.0;Online
80;20260405;108;2003;2;;1;30000.0;30000.0;Online
81;20260408;102;2004;2;;2;15000.0;30000.0;Online
82;20260405;112;2014;2;;2;20000.0;40000.0;Online
83;20260404;101;2007;1;;3;50000.0;150000.0;Online
84;20260405;103;2006;2;;4;100000.0;400000.0;Online
85;20260406;118;2001;3;1.0;3;140000.0;420000.0;Presencial
86;20260405;119;2001;1;;1;140000.0;140000.0;Online
87;20260406;114;2012;3;7.0;3;35000.0;105000.0;Presencial
88;20260409;120;2002;2;;4;280000.0;1120000.0;Online
89;20260405;107;2001;3;6.0;4;140000.0;560000.0;Presencial
90;20260409;117;2011;1;;2;60000.0;120000.0;Online
91;20260402;114;2011;2;;3;60000.0;180000.0;Online
92;20260402;111;2012;3;3.0;3;35000.0;105000.0;Presencial
93;20260406;114;2007;3;6.0;3;50000.0;150000.0;Presencial
94;20260404;105;2007;3;6.0;4;50000.0;200000.0;Presencial
95;20260410;106;2010;3;3.0;4;25000.0;100000.0;Presencial
96;20260405;101;2005;3;2.0;4;70000.0;280000.0;Presencial
97;20260406;120;2008;3;4.0;4;80000.0;320000.0;Presencial
98;20260409;107;2008;3;7.0;2;80000.0;160000.0;Presencial
99;20260405;103;2009;3;6.0;3;120000.0;360000.0;Presencial
100;20260405;108;2004;1;;2;15000.0;30000.0;Online
101;20260401;101;2004;1;;4;15000.0;60000.0;Online
102;20260408;103;2007;3;6.0;2;50000.0;100000.0;Presencial
103;20260408;113;2007;3;2.0;2;50000.0;100000.0;Presencial
104;20260402;101;2013;3;4.0;2;55000.0;110000.0;Presencial
105;20260408;117;2001;1;;2;140000.0;280000.0;Online
106;20260403;115;2013;1;;4;55000.0;220000.0;Online
107;20260409;117;2010;3;3.0;4;25000.0;100000.0;Presencial
108;20260407;117;2014;3;5.0;4;20000.0;80000.0;Presencial
109;20260408;116;2005;1;;2;70000.0;140000.0;Online
110;20260409;109;2008;3;6.0;2;80000.0;160000.0;Presencial
111;20260402;115;2012;2;;3;35000.0;105000.0;Online
112;20260406;109;2006;1;;1;100000.0;100000.0;Online
113;20260404;105;2007;1;;2;50000.0;100000.0;Online
114;20260402;107;2007;3;4.0;3;50000.0;150000.0;Presencial
115;20260407;115;2001;3;2.0;4;140000.0;560000.0;Presencial
116;20260401;119;2014;2;;4;20000.0;80000.0;Online
117;20260406;101;2005;2;;4;70000.0;280000.0;Online
118;20260409;118;2013;2;;2;55000.0;110000.0;Online
119;20260405;108;2007;2;;4;50000.0;200000.0;Online
120;20260406;113;2011;1;;4;60000.0;240000.0;Online
